Donor	Acceptor	Fluorescence	Luminescence	BRETratio
V2RRLuc	AT1RVenus	1.27431414	0.924768929	0.049604555
V2RRLuc	AT1RVenus	1.052450488	0.943598321	0.045104354
V2RRLuc	AT1RVenus	0.528364307	0.958461843	0.026106379
V2RRLuc	AT1RVenus	1.034612145	0.969100332	0.052728939
V2RRLuc	AT1RVenus	1.45423777	0.969161636	0.038243562
V2RRLuc	AT1RVenus	1.474256366	0.970475602	0.052105115
V2RRLuc	AT1RVenus	1.097061021	0.972952985	0.041655741
V2RRLuc	AT1RVenus	0.622294294	0.973194729	0.03327294
V2RRLuc	AT1RVenus	1.374085093	0.97497997	0.048442986
V2RRLuc	AT1RVenus	0.95414148	0.978278908	0.042693125
V2RRLuc	AT1RVenus	0.74458523	0.998471563	0.034318196
V2RRLuc	AT1RVenus	1.201229977	1.004202646	0.05112984
V2RRLuc	AT1RVenus	0.766967293	1.014298527	0.03273708
V2RRLuc	AT1RVenus	0.425179824	1.050617078	0.01296444
V2RRLuc	AT1RVenus	1.624911852	1.076283312	0.04045078
V2RRLuc	AT1RVenus	0.244441518	1.087126623	0.004341299
V2RRLuc	AT1RVenus	0.917325315	1.106922575	0.038802727
V2RRLuc	AT1RVenus	1.062592584	1.108128651	0.032894865
V2RRLuc	AT1RVenus	0.970961928	1.197700162	0.034498115
V2RRLuc	AT1RVenus	0.512926003	1.198996282	0.021654933
V2RRLuc	AT1RVenus	1.026238577	1.199792232	0.035885768
V2RRLuc	AT1RVenus	1.31827798	1.201115785	0.040933263
V2RRLuc	AT1RVenus	1.386776484	1.22293552	0.037770745
V2RRLuc	AT1RVenus	0.400729917	1.228600091	0.018001097
V2RRLuc	AT1RVenus	0.498793761	1.229491598	0.011777351
V2RRLuc	AT1RVenus	0.256817139	1.235419805	0.01167839
V2RRLuc	AT1RVenus	0.685942877	1.274630769	0.024611631
V2RRLuc	AT1RVenus	0.932410544	1.287962896	0.044492027
V2RRLuc	AT1RVenus	0.739264039	1.295006382	0.032147259
V2RRLuc	AT1RVenus	1.546463165	1.300971661	0.038541724
V2RRLuc	AT1RVenus	0.752266164	1.316007768	0.034944035
V2RRLuc	AT1RVenus	0.418006231	1.331922812	0.01870582
V2RRLuc	AT1RVenus	0.574473889	1.33455197	0.030506468
V2RRLuc	AT1RVenus	0.281879204	1.33557554	0.011844933
V2RRLuc	AT1RVenus	1.248691001	1.338168287	0.034797704
V2RRLuc	AT1RVenus	0.669928102	1.340955159	0.024666276
V2RRLuc	AT1RVenus	0.699012857	1.35785816	0.022160021
V2RRLuc	AT1RVenus	1.212043686	1.358505513	0.035759753
V2RRLuc	AT1RVenus	0.849096713	1.360672798	0.035998157
V2RRLuc	AT1RVenus	1.352432901	1.400283081	0.045425637
V2RRLuc	AT1RVenus	0.287349948	1.414229394	0.01206783
V2RRLuc	AT1RVenus	0.405991753	1.454569887	0.013258395
V2RRLuc	AT1RVenus	0.280385944	1.460306495	0.009924929
V2RRLuc	AT1RVenus	0.169660912	1.46524684	0.007559033
V2RRLuc	AT1RVenus	0.2879985	1.479846245	0.013711326
V2RRLuc	AT1RVenus	0.284011529	1.50154273	0.011029371
V2RRLuc	AT1RVenus	0.315421966	1.505300993	0.006277037
V2RRLuc	AT1RVenus	0.907684008	1.526648481	0.027037084
V2RRLuc	AT1RVenus	0.419105682	1.54349059	0.013781103
V2RRLuc	AT1RVenus	1.254086696	1.615882107	0.034172281
V2RRLuc	AT1RVenus	0.216342556	1.627487822	0.006669818
V2RRLuc	AT1RVenus	0.497105618	1.730141647	0.016792019
V2RRLuc	AT1RVenus	0.561249334	1.793337585	0.020287718
V2RRLuc	AT1RVenus	0.175850643	1.800596432	0.005267402
V2RRLuc	AT1RVenus	0.51261693	1.80589677	0.016953622
V2RRLuc	AT1RVenus	0.621500427	1.819171323	0.018596679
V2RRLuc	AT1RVenus	0.536583295	1.856676171	0.026071869
V2RRLuc	AT1RVenus	0.600482194	1.85763007	0.015106343
V2RRLuc	AT1RVenus	0.513790803	1.865773545	0.021324198
V2RRLuc	AT1RVenus	0.292402433	1.916270645	0.005542927
V2RRLuc	AT1RVenus	0.578611543	1.934312491	0.014674125
V2RRLuc	AT1RVenus	0.291183544	1.969739355	0.008388432
V2RRLuc	AT1RVenus	0.609102453	1.980661176	0.01544975
V2RRLuc	AT1RVenus	1.324163757	1.981132716	0.032233968
V2RRLuc	AT1RVenus	0.314905888	1.981157632	0.00887243
V2RRLuc	AT1RVenus	0.170267362	2.000809478	0.006209724
V2RRLuc	AT1RVenus	0.209712847	2.10354158	0.008721564
V2RRLuc	AT1RVenus	0.331558681	2.122376639	0.008332482
V2RRLuc	AT1RVenus	0.269605685	2.139359361	0.012778268
V2RRLuc	AT1RVenus	0.572090508	2.14581971	0.020383788
V2RRLuc	AT1RVenus	0.362037237	2.197965798	0.010338712
V2RRLuc	CB1RVenus	0.40256564	0.577742367	0.035240914
V2RRLuc	CB1RVenus	0.403174193	0.608215247	0.043273176
V2RRLuc	CB1RVenus	0.883241222	0.660505359	0.048831368
V2RRLuc	CB1RVenus	0.778577625	0.691295371	0.046131475
V2RRLuc	CB1RVenus	0.641849772	0.730223986	0.034567277
V2RRLuc	CB1RVenus	0.828581487	0.768643752	0.036116914
V2RRLuc	CB1RVenus	0.821621524	0.7783123	0.034383692
V2RRLuc	CB1RVenus	0.537609203	0.78923598	0.034101737
V2RRLuc	CB1RVenus	0.725313918	0.793454433	0.040080987
V2RRLuc	CB1RVenus	0.706419861	0.798198228	0.028190769
V2RRLuc	CB1RVenus	0.59860747	0.798275002	0.038003873
V2RRLuc	CB1RVenus	0.409537827	0.802431651	0.02847696
V2RRLuc	CB1RVenus	0.453768492	0.806441704	0.017996183
V2RRLuc	CB1RVenus	0.648419712	0.822961431	0.038663597
V2RRLuc	CB1RVenus	0.758201483	0.835642324	0.045963457
V2RRLuc	CB1RVenus	0.580403249	0.837085391	0.032041709
V2RRLuc	CB1RVenus	0.373099838	0.842545553	0.023388284
V2RRLuc	CB1RVenus	0.430495165	0.85597804	0.023923597
V2RRLuc	CB1RVenus	0.735112166	0.875739446	0.036126232
V2RRLuc	CB1RVenus	0.62044769	0.889796359	0.027724018
V2RRLuc	CB1RVenus	0.211536175	0.891054556	0.011590309
V2RRLuc	CB1RVenus	0.51812433	0.891619723	0.030812928
V2RRLuc	CB1RVenus	0.681219604	0.905667981	0.04102814
V2RRLuc	CB1RVenus	0.604683445	0.925466763	0.02954855
V2RRLuc	CB1RVenus	0.465834404	0.928321162	0.02959921
V2RRLuc	CB1RVenus	0.608750438	0.955448979	0.033847212
V2RRLuc	CB1RVenus	0.733454296	0.976343363	0.029923938
V2RRLuc	CB1RVenus	0.398790876	1.006775717	0.019794534
V2RRLuc	CB1RVenus	0.388476865	1.05406039	0.004379054
V2RRLuc	CB1RVenus	0.521364934	1.059588016	0.024600816
V2RRLuc	CB1RVenus	0.327889801	1.08223224	0.018439602
V2RRLuc	CB1RVenus	0.300752094	1.083913611	0.022318816
V2RRLuc	CB1RVenus	0.319412845	1.096884447	0.013024011
V2RRLuc	CB1RVenus	0.325161217	1.104250755	0.016505535
V2RRLuc	CB1RVenus	0.07498011	1.125249055	0.0021885
V2RRLuc	CB1RVenus	0.166859366	1.203267315	0.005509917
V2RRLuc	CB1RVenus	0.109731491	1.218625546	0.009009833
V2RRLuc	CB1RVenus	0.666006146	1.232100467	0.020333374
V2RRLuc	CB1RVenus	0.157310464	1.250235118	0.008689796
V2RRLuc	CB1RVenus	0.171888687	1.255417038	0.012838063
V2RRLuc	CB1RVenus	0.646235057	1.256042135	0.034047481
V2RRLuc	CB1RVenus	0.144213889	1.271294013	0.007663972
V2RRLuc	CB1RVenus	0.838953803	1.271546574	0.037599904
V2RRLuc	CB1RVenus	0.192028917	1.272015662	0.009407522
V2RRLuc	CB1RVenus	0.068986701	1.312636392	0.004702618
V2RRLuc	CB1RVenus	0.706139887	1.313232823	0.025209632
V2RRLuc	CB1RVenus	0.037717609	1.383356045	0.006172441
V2RRLuc	CB1RVenus	0.10419436	1.385160216	0.006744431
V2RRLuc	CB1RVenus	0.210756306	1.433593322	0.002992859
V2RRLuc	CB1RVenus	0.422018192	1.477783866	0.015615858
V2RRLuc	CB1RVenus	0.111863464	1.47898477	0.003774051
V2RRLuc	CB1RVenus	0.402875596	1.491684286	0.010923072
V2RRLuc	CB1RVenus	0.242938624	1.557112562	0.011811086
V2RRLuc	CB1RVenus	0.243007746	1.68162204	0.025498569
V2RRLuc	CB1RVenus	0.547973833	1.745272477	0.024487916
V2RRLuc	CB1RVenus	0.498861426	1.78076868	0.009366604
V2RRLuc	CB1RVenus	0.119354168	1.79587231	0.003141266
V2RRLuc	CaSRVenus	0.352265391	0.285839762	0.009774131
V2RRLuc	CaSRVenus	0.245656068	0.378197251	0.005713516
V2RRLuc	CaSRVenus	0.157873541	0.440646205	0.002112244
V2RRLuc	CaSRVenus	0.632889829	0.468047566	0.014990309
V2RRLuc	CaSRVenus	0.617401167	0.527601653	0.011135317
V2RRLuc	CaSRVenus	0.42539019	0.805289874	0.00454403
V2RRLuc	CaSRVenus	0.481219042	0.938054099	0.005187813
V2RRLuc	CaSRVenus	0.229870262	1.236314789	0.003123569
V2RRLuc	CaSRVenus	0.125621288	1.324669967	0.002910692
V2RRLuc	CaSRVenus	0.526648485	1.400869017	0.009397749
V2RRLuc	CaSRVenus	0.533670634	1.488932594	0.010280363
V2RRLuc	CaSRVenus	0.254441414	1.550205306	0.001170767
V2RRLuc	CaSRVenus	0.25602384	1.701910854	0.004386747
V2RRLuc	CaSRVenus	0.367462765	1.983397182	0.005688371
V2RRLuc	CaSRVenus	0.302056517	2.112558309	0.004070361
V2RRLuc	CaSRVenus	0.394629521	2.160143987	0.004699346
V2RRLuc	CaSRVenus	0.207954188	2.202389718	0.00232534
V2RRLuc	AT2RVenus	0.684133602	0.363334477	0.016636948
V2RRLuc	AT2RVenus	0.95483667	0.487029243	0.012384982
V2RRLuc	AT2RVenus	0.457971577	0.53409888	0.015972367
V2RRLuc	AT2RVenus	0.91398232	0.581319834	0.015756362
